country_name	ccode	index	election_id	year	partyname	cmpcode	self_sup	self_supp_t1	self_supp_t2	self_supp_ch_t	self_supp_ch_t1	party_all	party_all_t1	party_all_t2	party_ch_all_voters_t	party_ch_all_voters_t1	abs_party_all_ch	n_pid	toofew	party_sup	party_supp_t1	party_ch_supporters_t	party_ch_supporters_t1	party_ind	party_ind_t1	party_ind_ch	party_ind_ch1	party_oth	party_oth_t1	party_others_ch	party_others_ch1	interpolated_expert	interpolated_expert_t1	interpolated_expert_t2	interpolated_expert_ch1	interpolated_expert_ch2	interpolated_expert_10	interpolated_expert_t1_10	interpolated_expert_t2_10	interpolated_expert_ch1_10	interpolated_expert_ch2_10	abs_interp_expert_ch	emp_posit_t	emp_posit_t1	emp_posit_t2	emp_ch1	emp_ch2	emp_posit_t_10	emp_posit_t1_10	emp_posit_t2_10	emp_ch1_10	emp_ch2_10	abs_epmch	greens	ingovt	vote	anti_eu	extremism_expert	extremism_cmp_lr	cmp_eu_ratio	cmp_eu_ratio_t1	cmp_eu_ratio_t2	cmp_eu_ratio_ch1	cmp_eu_ratio_ch2
"Denmark"	13.0	14041	4.0	2004.0	"SF"	13230	5.2	4.731		0.46899986		5.087	4.103		0.9839997		0.9839997	47.0		6.298	4.452	1.8459997		4.95082	4.26409	0.6867299		5.07265	3.91599	1.1566598		3.35	2.5714285		0.77857137		4.5249996	3.357143		1.1678567		0.77857137	0.0	1.6129032	1.0822511	-1.6129032	0.53065217	5.5	5.572581	5.5487013	-0.072580814	0.023879528	1.6129032	0.0	0.0	7.9	1.0	1.0799999	33.846153		0.11111112	-1.0		1.1111112
"Denmark"	13.0	14091	5.0	2009.0	"SF"	13230	5.871	5.2	4.731	0.671	0.46899986	6.191	5.087	4.103	1.1040001	0.9839997	1.1040001	121.0		6.556	6.298	0.25800037	1.8459997	6.20479	4.95082	1.2539701	0.6867299	6.07506	5.07265	1.0024099	1.1566598	4.354091	3.35	2.5714285	1.0040913	0.77857137	6.0311365	4.5249996	3.357143	1.5061369	1.1678567	1.0040913	5.8252425	0.0	1.6129032	5.8252425	-1.6129032	5.762136	5.5	5.572581	0.26213598	-0.072580814	5.8252425	0.0	0.0	15.4	0.0	0.3499999	37.142857		-0.6666666			
"Denmark"	13.0	14041	4.0	2004.0	"SD"	13320	5.067	4.905		0.1619997		6.412	6.641		-0.22899961		0.22899961	206.0		6.384	6.96	-0.5760002		6.42891	6.80226	-0.37335014		6.40741	6.31788	0.08952999		5.775	5.142857		0.632143		8.1625	7.214286		0.94821453		0.632143	13.953488	22.680412	18.65285	-8.726924	4.027563	6.127907	6.5206184	6.3393784	-0.39271164	0.18124008	8.726924	0.0	0.0	32.6	0.0	1.77	13.357079	0.27272728	-1.0	0.0	1.2727273	-1.0
"Denmark"	13.0	14091	5.0	2009.0	"SD"	13320	6.12	5.067	4.905	1.053	0.1619997	6.42	6.412	6.641	0.007999897	-0.22899961	0.007999897	144.0		6.975	6.384	0.5910001	-0.5760002	6.27885	6.42891	-0.1500597	-0.37335014	6.34927	6.40741	-0.058140278	0.08952999	5.876818	5.775	5.142857	0.101818085	0.632143	8.3152275	8.1625	7.214286	0.15272713	0.94821453	0.101818085	6.7961164	13.953488	22.680412	-7.157372	-8.726924	5.805825	6.127907	6.5206184	-0.32208157	-0.39271164	7.157372	0.0	0.0	20.9	0.0	1.8800001	8.5470085			0.27272728		
"Denmark"	13.0	14041	4.0	2004.0	"RV"	13410	6.936	5.905		1.0309997		6.448	5.997		0.45099974		0.45099974	45.0		7.289	6.095	1.1940002		6.40701	6.12941	0.2776003		6.39869	5.87234	0.52635		6.2200003	5.571429		0.6485715		8.83	7.8571434		0.9728565		0.6485715	12.101911	18.548388	20.27027	-6.446477	-1.7218819	6.044586	6.334677	6.4121623	-0.29009104	-0.077485085	6.446477	0.0	0.0	6.4	0.0	1.77	3.773585	1.0	0.33333334	1.0	0.6666666	-0.6666666
"Denmark"	13.0	14091	5.0	2009.0	"RV"	13410	7.686	6.936	5.905	0.75	1.0309997	6.559	6.448	5.997	0.11100006	0.45099974	0.11100006	21.0		8.243	7.289	0.954	1.1940002	6.52017	6.40701	0.11316013	0.2776003	6.51624	6.39869	0.117549896	0.52635	6.7811365	6.2200003	5.571429	0.56113625	0.6485715	9.671705	8.83	7.8571434	0.8417053	0.9728565	0.56113625	8.226221	12.101911	18.548388	-3.8756895	-6.446477	5.87018	6.044586	6.334677	-0.17440605	-0.29009104	3.8756895	0.0	0.0	4.1	0.0	2.7810001	9.615385	1.0	1.0	1.0	0.0	0.0
"Denmark"	13.0	14041	4.0	2004.0	"V"	13420	5.765	6.355		-0.59000015		6.664	7.58		-0.9159999		0.9159999	195.0		7.062	7.737	-0.6750002		6.80549	7.73371	-0.9282198		6.31579	7.30216	-0.9863696		6.365	7.0		-0.6350002		9.0475	10.0		-0.95250034		0.6350002	21.974522	31.597221	14.689265	-9.6227	16.907955	6.4888535	6.921875	6.161017	-0.43302155	0.76085806	9.6227	0.0	1.0	19.4	0.0	2.62	36.231884			0.0		
"Denmark"	13.0	14091	5.0	2009.0	"V"	13420	5.686	5.765	6.355	-0.078999996	-0.59000015	5.932	6.664	7.58	-0.7319999	-0.9159999	0.7319999	139.0		6.555	7.062	-0.50699997	-0.6750002	5.99068	6.80549	-0.8148098	-0.9282198	5.67039	6.31579	-0.64540005	-0.9863696	6.0956817	6.365	7.0	-0.2693181	-0.6350002	8.643522	9.0475	10.0	-0.4039774	-0.95250034	0.2693181	12.44168	21.974522	31.597221	-9.532842	-9.6227	6.0598755	6.4888535	6.921875	-0.42897797	-0.43302155	9.532842	0.0	1.0	19.6	0.0	2.0949998	6.976744					
"Denmark"	13.0	14041	4.0	2004.0	"KF"	13620	5.509	6.619		-1.1100001		6.319	6.898		-0.579		0.579	53.0		6.585	7.571	-0.98600006		6.49626	7.10174	-0.6054797		6.1449	6.63441	-0.48951006		5.88	6.0		-0.119999886		8.32	8.5		-0.1800003		0.119999886	17.80822	17.241379	35.251797	0.5668411	-18.010418	6.3013697	6.275862	7.086331	0.02550745	-0.8104687	0.5668411	0.0	1.0	11.3	0.0	1.54	20.37037	1.0	0.8333333	1.0	0.16666669	-0.16666669
"Denmark"	13.0	14091	5.0	2009.0	"KF"	13620	6.025	5.509	6.619	0.5160003	-1.1100001	5.893	6.319	6.898	-0.42599964	-0.579	0.42599964	47.0		6.343	6.585	-0.2420001	-0.98600006	5.85593	6.49626	-0.6403303	-0.6054797	5.87636	6.1449	-0.2685399	-0.48951006	5.9868183	5.88	6.0	0.1068182	-0.119999886	8.480227	8.32	8.5	0.16022778	-0.1800003	0.1068182	10.138248	17.80822	17.241379	-7.6699715	0.5668411	5.956221	6.3013697	6.275862	-0.34514856	0.02550745	7.6699715	0.0	1.0	12.3	0.0	1.987	17.355371	1.0	0.33333334	1.0	0.6666666	-0.6666666
"Denmark"	13.0	14041	4.0	2004.0	"DF"	13720	2.936	3.25		-0.3139999		2.389	2.197		0.19199991		0.19199991	26.0	1.0	3.346	2.5	0.84599996		2.47982	2.22767	0.25215006		2.27143	2.15504	0.11638999		1.9749999	1.4285715		0.54642844		2.4624999	1.6428572		0.81964266		0.54642844	-18.3099	-33.33		15.023468		4.6760545	4.0001497		0.67590475		15.023468	0.0	0.0	6.8	1.0	2.38	35.0	-1.0	-1.0		0.0	
